publishedAt,authorDisplayName,textDisplay,likeCount,merk,Sentiment
2024-09-21T12:45:15Z,@DanangWidiyana,"Ini mah bukan kekurangan besar, cuma ekspektasimu aja yang berlebihan. Yakali mobil listrik murah mintanya banyak banget. Perkara seatbelt dileher aja dimasalahin. Itu badanmu yang terlalu tinggi dan besar",2,wuling,Netral
2024-09-25T07:06:29Z,@ntznbgzt,"intinya sih gini, di indonesia, jika mobil bensin untuk cari kenyamanan dan fasilitas &quot;standar&quot; itu di mobil2 level harga 300-400, baru  enak/worth. Sedangkan mobil listrik kalau mau enak nyaman ya masih di level harga 700 an. Di harga 700 itu pun itungannya bukan luxury car jatuhnya, ioniq 5  jauh ga lebih mewah dibanding mobil2 di harga yang sama.  teknologi baterai masih new technology, masih baru, wajar teknologi baru itu mahal. karena ekosistemnya belum stabil, supply demand nya, belum ditambah geopolitik segala urusan harga bahan baku.<br><br>kalau di negara2 income tinggi, macem singapore korea jepang dll itu incomenya udah 7-8 kali lipat indonesia, ioniq5 ga mahal2 amat, middle itungannya. Ga heran ioniq5 di luar itu dibilang worth bahkan termasuk murah di segmen mobil listrik, karena memang &quot;power to buy&quot; nya match, klop, income nya gede. <br>Jadi ya kadang ngerasa airev itu &quot;kok cuma gini doang&quot; ya memang, ga bisa ekspektasi tinggi untuk mobil listrik di harga paling bawah. Baterainya aja udah hampir setengah harga produksi kayaknya tuh. Masalahnya GDP percapita kita yang cuma USD 4700-4900 an. Jadi jika ada pabrikan yang ngisi mobil listrik di level harga 190-300jutaan, ya itu patut diapresiasi, karena memang marketnya di level segitu. <br><br>Dan jangan berharap akan setara bagusnya dengan mobil bensin di harga yang sama, pasti selalu lebih rendah sedikit. Logikanya 190jt air ev lite udah bisa dapet sigra, calya, atau wuling formo yang lebih besar. <br>Ya tinggal pilih, mau yang efisiensi tinggi mengorbankan sedikit kenyamanan, atau harga sama dengan sedikit repot service, isi bensin tapi dapet luasan yang gede. Kalau mobilitasnya tinggi, mobil listrik cocok, karena cost per km akan jauh lebih rendah. Apalagi di kemacetan. Kalau mobilitasnya sangat rendah, mobil kepakai cuma 1-2 kali dalam seminggu, mungkin masih efisien mobil bensin, karena ya jarang dipakai. cost per km juga itungannya rendah. Mobil listrik cocok JIKA rolling terus, apalagi sehari diatas 50-60km. bakal berasa efisiensinya. Mau fiturnya gimana kek, ra urus. karena kita disini ngomongin efisiensi, bukan fitur dan kemewahan. Di level harga segini ga layak ngomongin kemewahan.",2,wuling,Netral
2024-10-29T00:11:28Z,@muhammadM-v7x,memang kekurangan sih. Ini kan buat edukasi yang mau beli dan belum tau aja,0,wuling,Netral
2024-12-22T12:07:25Z,@lucasafandi7470,"​@@ntznbgztWuling Cloud EV, MG 4, MG Zs, Vinfast e34, BYD M6 standart range. Semua mobil listrik ini di bawah 400 juta dan nyaman banget kok cocok untuk ke luar kota jadi gak harus yang 700 an untuk mobil listrik.",0,wuling,Netral
2024-09-21T02:42:54Z,@jonnhardy,"Justru klo sopirnya pendek, malah kena leher, klo tinggi masih ketolong kena dada",9,wuling,Netral
2024-09-20T23:48:19Z,@kertasinema,Wkwkwkwk muncung lu bang 😂😂,0,wuling,Negatif
2024-09-11T11:22:41Z,@Bikinasikajadeh,"Mas nya kurang smart penjelasan nya 😂 <br><br>Pasar mobil ini tuh buat orang2:<br><br>1. Kerja di jakarta rumah di bogor, cibubur, cileungsi, alam sutra, bsd, karawaci, cocok pake mobil ini karena murah. <br><br>2. Rumah di jakarta, bebas ganjil genap, kesana kemari, plus irit bensin. <br><br>3. Ngapain jauh2 pake mobil ini, udah jelas bentuk nya kecil gini, cuma buat mobilitas aja woy",8,wuling,Netral
2024-09-15T05:04:06Z,@NuansaKucing,"Oh maap om, soalnya sebelum beli mobil ini memang nonton di youtube ada tuh yang review di youtube dibawa dr jakarta ke puncak, jakarta bogor, tangerang bandung, sampai juga ada buat mudik. Maap suhu siap salah.",1,wuling,Netral
2024-09-21T12:46:02Z,@DanangWidiyana,"Agree, kirain kekurangannya apaan ternyata cuma minor",1,wuling,Netral
2025-01-05T16:42:12Z,@panggihaprillyanto1913,leher itu sangat gk nyaman kadang malah bikin iritasi.speaker sebelah juga gak nyaman...yang lainnya saya rasa masih ok buat city car.,2,wuling,Negatif
2024-09-03T15:12:37Z,@alvianojuliantara1503,"Di rem saat posisi D saat tanjanak otomatis dia nahan om,di gas jg nanjak gaperlu handbreak",6,wuling,Netral
2024-09-15T05:05:13Z,@NuansaKucing,Kemarin sempet nyoba pas lampu merah mundur loh om. Apa kelamaan kah?? Mungkin perlu w coba lagi. Makasih infonya,1,wuling,Netral
2024-09-02T01:19:50Z,@ianpoenya4072,Apa untuk ngecas listrik rumah minimal harus 3300 min?,1,wuling,Netral
2024-08-31T11:44:47Z,@carkawalakhatulistiwa,Lagi menunggu byd bikin pabrik Batrai dan mobil di Indonesia.,3,wuling,Netral
2025-02-06T08:45:14Z,@deniarifiyanto3862,kenapa nungguin byd bikin pabik om... biasa yang ditungguin mobilnya setelah SPK😀,0,wuling,Netral
2024-08-29T00:25:00Z,@sakti0707,bagaimana dengan harga jual kembali,0,wuling,Netral
2025-01-21T02:19:45Z,@hafidhadhiet,jatoh. mobil listrik itu pake sampai rusak. kalo ada rencana jual lagi mending beli mobil ICE,0,wuling,Negatif
2024-08-27T14:22:58Z,@irfankristianto5616,Info info yang butuh mobil wuling😊,0,wuling,Netral
2024-08-26T18:05:30Z,@karuniaindah6845,Sekarang malah air ev lite dpt upgrade baterai ke 300 km.. 😂😂 free,0,wuling,Netral
2024-09-02T03:52:14Z,@ALS8804,maksudnya?,0,wuling,Netral
2025-01-06T17:03:54Z,@hilmansb8334,"​@@ALS8804mungkin maksudnya sekarang sudah tersedia battery dengan bentuk dan besar yang sama namun daya lebih besar kapasitas/kekuatannya, sehingga lebih tahan lama atau bisa menambah jarak tempuh misal dari 200 km menjadi 300 km",0,wuling,Netral
2024-08-21T05:11:51Z,@endeng396,Lu gak bakal banyak komplain kalo lu gak jadiin mobil ini mobil utama. Intinya air ev ini bukan opsi mobil utama,0,wuling,Negatif
2024-08-30T07:07:16Z,@dedikpurwanto9842,Betul...Air Ev itu ibarat beli mobil pendamping nya mobil utama.<br><br>Kalau buat mobil tempur 1-1 nya...ga recomended banget.,0,wuling,Negatif
2024-08-15T01:26:24Z,@yunanda,"Wah,soal speaker baru tau cuma kanan doang,asli. Beneran itu ? 😅",3,wuling,Netral
2024-08-15T04:48:31Z,@boris.oei8,@@yunanda iya lite speaker hanya 1 di kanan..,1,wuling,Netral
2024-08-22T13:45:45Z,@Antifa850,Beli yang mahal,0,wuling,Negatif
2024-08-30T05:34:14Z,@myrickybudi6890,Ini bener2 nyiksa... gak ada obat 😂,0,wuling,Negatif
2025-01-05T05:05:39Z,@anakostan,waduh.. mengganggu banget sih kalau kanan doang..,0,wuling,Negatif
2024-08-13T12:01:59Z,@latasyaasinarta1348,eh ada si cantik pinky! ❤️🤗,0,wuling,Netral
2024-08-12T09:55:59Z,@boris.oei8,"Sharing juga..<br>Untuk hill start assist sebetulnya ada, memang terasa mundur sedikit tapi setelah itu di hill start asist nyala selama 3detikan.<br>Saya juga pemakai air ev lite 3 bulan KM 3800an, awal awal memang terasa aneh pakai air ev, terasa mungkin agak capek, tapi lama lama terbiasa.<br>Suspensinya nyaman. Kalau hajar polisi tidurnya pelan.<br>Kalau di tol kecepatan diatas 80kpj, mobil terasa agak kurang stabil.<br>Dan kebetulan unit saya dari 1minggu setelah di kirim, remnya bunyi saat di injak, biasanya karena kotor, lupa saat servis pertama mau cek.<br>Jok standartnya mudah kotor, tapi kebetulan saya lebih suka jok ori ketimbang sudah di cover.<br>Chargenya lama, karena portable charge daya yang masuk sekitar 1600watt, tidak sampai 2.2kw.. padahal listrik di rumah 5.5kw<br>Overall dari segala kekurangannya, terbayar dari iritnya, seneng setir mobil kecil, gampang nyelip2 dan lewat jalan sempit.",34,wuling,Netral
2024-08-12T13:08:50Z,@FeroChandra,Charge nya kalau di rumah bisa sampai 1.8 kw. Itu kalau listrik nya di pisah ya. Soalnya aku ajuin pasang meteran baru.<br>Kalau di spklu dia bs mentok 2kw,1,wuling,Netral
2024-08-12T13:25:06Z,@boris.oei8,"@@FeroChandra oh kalau di rumah saya 1.6kw, daya di rumah 5.5kw.. kalau kepakai dengan rumah total hanya 3kw.. jadi masih sisa banyak.. tapi entah kenapa hanya segitu yang masuk.",1,wuling,Netral
2024-08-12T13:30:15Z,@FeroChandra,@@boris.oei8sudah di cek pakai bardi socket ? Disana akan kelihatan real nya,0,wuling,Netral
2024-08-15T01:53:44Z,@rezaagatha4332,"halo om saya br spk air ev lite, hill start assist emg ada? kok saya tes langsung glosor ya..<br><br>trus saya mau pasang meteran baru khusus buat charge, apakah lbh bagus?",1,wuling,Netral
2024-08-15T02:10:54Z,@FeroChandra,ada rem dulu benar2 berhenti lalu lepas dia ada. Dugaan saya itu di tahan sama mesin selama 5 detikan. <br>Meteran baru bagus kok jadi ga bebankan ke rumahan dan lebih bisa di ukur.<br>Hanya pasang nya report bgt. Panjang cerita. Sampai 5x aku follow up ke pln. <br>Hanya kena 2 jt karena subsidi. <br>Sekalian persiapan aja buat next ev kalau sudah ada changer yang fast,2,wuling,Netral
2024-08-12T02:51:29Z,@chriswanwinata4801,"mobil listrik baterainya mahal, jadi kalo harganya setara lgcc ice, ya kualitas/kenyamanannya di bawah mobil ice. Saya sih puas banget sama mobil ini dengan segala keterbatasannya.",0,wuling,Netral
2024-08-12T04:31:57Z,@NuansaKucing,"@@chriswanwinata4801 mantap, ya balik lagi ke standar kenyamanan masing-masing yaaa 😊",0,wuling,Positif
2024-08-12T23:21:53Z,@sieghart132,"Ga mesti ya, saya pake BYD Atto 3 tapi kenyamanannya setara mobil yang harganya 2x lipat.<br>Wuling aja yang jualnya kemahalan, harusnya Air EV ini harganya 100jtan 😂😂😂",0,wuling,Positif
2024-08-13T13:56:24Z,@Marcel-v1b,"Harga yang ini memang 188 juta kak,yang paling mahal baru jauh beda",0,wuling,Netral
2024-08-20T05:36:07Z,@jajd9,"anda enak di Jakarta yang  mobil merk baru launching, jd aftersale byd terjamin, lah di kota yang belum ada byd, beli byd kl ada apa apa ribet..",0,wuling,Negatif
2024-08-12T02:46:45Z,@chriswanwinata4801,kalau bajunya berkerah akan lebih nyaman saat pakai seat belt. kalau ketemu poldur kecepatan harus dikurangi s/d 15km perjam biar ga kebanting dan kepentok baterai karena mobil ini ceper,9,wuling,Netral
2024-08-12T04:32:48Z,@NuansaKucing,"@@chriswanwinata4801 wah thank you ya buat sarannya, mungkin nanti akan di coba pakai baju berkerah hehe",0,wuling,Netral
2025-04-19T18:41:31Z,@tathaum8220,Ikut sharing. Kebetulan orang tua saya punya mobil Datsun Go+ 2015 yang seatbelt-nya juga kurang enak/pendek/kaku. Saya akalin pake seatbelt extender beli di olshop 60ribuan jadi agak lebih nyaman. 🙏🏻😁👍🏻,0,wuling,Netral
2025-06-05T10:49:32Z,@nartpras,Klo ini cocok dikota aja. Gang ² kecil,0,wuling,Netral
2025-06-05T09:17:35Z,@erickanovianti115,"Kan memang city car, jd memang nggak disarankan hanya untuk dalam kota",0,wuling,Netral
2025-05-26T12:13:27Z,@bayuSaputra-nx2jb,Harganya brapaan bos..,0,wuling,Netral
2025-05-22T13:11:14Z,@panjiwitjaksono7082,Dari semua kekurangannya memang anda ga cek dulu mobilnya di dealer sampai test deive 😅,0,wuling,Negatif
2025-05-17T04:15:26Z,@Jack34323,"Lbh murah series E1, bentyknya jg lbh manusiawi",0,wuling,Negatif
2025-04-30T11:28:02Z,@PandhitoAgung,Ngakak Speakernya cuma satu😂😅,0,wuling,Negatif
2025-04-27T18:40:51Z,@Samsulbasarmunah,Kelebihan terbaik mobil ini bebas ganjil genap di Jakarta.,1,wuling,Netral
2025-04-19T18:37:46Z,@tathaum8220,"Guys, mau sharing dong tolong jangan di bully ya. Saya cewek single usia 30 sebelumnya pengguna Hyundai Avega matic (nggak bisa nyetir mobil manual 😭) tahun 2014 akhir tapi udah dijual. Kebetulan belum nikah dan masih tinggal bareng orang tua.😢 orang tua punya Datsun Go+ manual tahun 2015 dan Xenia matic tahun 2020 (ini yang suka saya pinjem sesekali 😅). Tapi kalo weekdays kerja kebanyakan naik ojol+TJ aja. Rencananya tahun 2025 ini kalau bisa mau beli mobil lagi yang baru dengan budget dibawah 200juta cash. Menurut kalian mending beli Ayla X A/T 1000cc atau nyobain mobil listrik Wuling Air EV lite aja? Udah nanya sama sales mobil keduanya budget-nya sama² Rp170 juta-an. Kebetulan selain harganya setara, fiturdandesain-nya juga hampir mirip alias minimalis. Listrik rumah orang tua bisa untuk charge mobil karena daya 4400watt. TAPI jujur kita sekeluarga masih trust issue beli mobil listrik. Mohon saran dan pendapatnya. Terima kasih. 🙏🏻😁👍🏻",1,wuling,Netral
2025-05-14T07:28:45Z,@andhikas7245,"Tergantung kebutuhan, ayla enak tapi sebisa mungkin jangan matik karena tidak seiirit manual, pajak dan perawatan maticnya yang lebih mahal. Air ev kalau buat dalam kota juga jadi pilihan, irit, mungil, pajak murah, perawatan smp 5-8 th tidak terlalu besar.",1,wuling,Netral
2025-05-14T07:41:15Z,@tathaum8220,@andhikas7245  Setuju. Tapi sayangnya saya nggak bisa nyetir manual. Pertimbangan saya &amp; orang tua saya berpikir mobil ayla bisa dipakai hingga 10 tahun bahkan lebih. Kalo mobil listrik kayak masih belum teruji. Amit² kalo dealer-nya maaf tutup. Maka garansinya nggak berlaku lagi. 🙏🏻,0,wuling,Netral
2025-04-15T04:14:16Z,@jonisin5498,"buset speaker cuman di kasi satu, pelit banget ya ....",0,wuling,Negatif
2025-03-23T13:33:43Z,@andreasthamsil4839,"Di negaranya harga tidak sampai 100 juta. Di sini harganya 300 juta,",0,wuling,Netral
2025-03-11T19:20:11Z,@ZayDik,Bang dirumah pake daya brpa watt? Trus chasnya brpa menit sampai full,0,wuling,Netral
2025-02-28T00:30:40Z,@Paul-vj6wg,Jual aja om 50jt laku kali....,0,wuling,Negatif
2025-02-09T07:33:36Z,@ariefdharmawan71,"infonya sangat padat, berisi, apa adanya... sangat membantu para calon buyer...",4,wuling,Netral
2025-02-05T13:31:10Z,@galihsusantoo,Dari maksimal ke habis baterai bisa berapa KM ?,0,wuling,Netral
2025-01-26T05:01:32Z,@restup7142,Ada harga ada barang,2,wuling,Netral
2025-01-21T01:55:10Z,@lauraolla1,Makasih author..jd rada mikir hehe better J 6 wlu mahal 2 kali lipat tapi enakk bgt wktu pas ak test drive kmrn,0,wuling,Positif
2025-01-18T10:56:31Z,@sofyan5598,Mobil kecil kok buat jarak jauh 😂,0,wuling,Negatif
2025-01-17T20:06:22Z,@outsidethebox262,"Mau coba pergi ke dieng sm tmn2 naik air ev. Semua tinggi rata2 175cm, berat 80kg x5... kayanya lucu...",2,wuling,Netral
2025-01-18T15:25:38Z,@HokiBanget-q6c,Uji nyali 😂,0,wuling,Netral
2025-01-22T14:52:38Z,@megachan4648,Wah jangan ☠️,0,wuling,Negatif
2025-01-14T03:23:21Z,@lenicen5059,Spare part dan perawatan nya mahal bang ?,3,wuling,Negatif
2025-01-14T13:28:19Z,@NuansaKucing,"ini belum pernah servis ganti part kak, jadi belum tau siih",0,wuling,Netral
2025-01-07T10:10:18Z,@tegarsukma90,Listrik rumah daya nya berapa bang..,3,wuling,Netral
2025-01-14T13:27:57Z,@NuansaKucing,7000 banggg,0,wuling,Netral
2025-01-01T04:10:32Z,@hendradjaja7821,Ragu  dan  rugi ...... mobil   mainan   ????😂,1,wuling,Negatif
2024-12-30T14:40:45Z,@ladabanyu2955,"buat di tanjakan air ev ada sistem anti mundur om cuma 2 detik atau kuran lebihnya, coba aja pas tanjakan atau jalan gak agak miring di rem sampai berhenti trus di lepas remnya ada sistem yang nahan dikit supaya gak mundur, klo kelamaan di leapas dia akan loss mundur tapi ada beberapa sekian detik akan nahan dlu, saya tau setelah 1 bulan pakai.wkwwkk",1,wuling,Netral
2024-12-31T04:11:52Z,@NuansaKucing,wkwkwk iya om ternyata. setelah di coba2. thankyou om infonya 👍,0,wuling,Netral
